objectid,facil_id,instit_id,facil_name,facil_addr,grade_leve,grade_org,facil_tele,zipcode,tencode,st_code,facil_type,instit_typ,enrollment,active,cartodb_id,created_at,updated_at,longitude_0,latitude_0,geojson
312,W86,W86,Northwood Academy,4621 Castor Ave,Elementary School,K-8,215-289-5606,19124-3024,2188004601,21880,School,Charter,392,O,185,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0944965486617,40.0204017376507,"{""type"":""Point"",""coordinates"":[-75.0945,40.0204]}"
313,W78,W78,Philadelphia Montessori Charter School,2227 Island Ave,Elementary School,preK-4,215-365-4011,19142,4512002227,45120,School,Charter,0,O,186,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2453516879888,39.9165704797534,"{""type"":""Point"",""coordinates"":[-75.24535,39.91657]}"
314,Lease83,6480,AMY Northwest (St. Terese),6611 Ardleigh St,Middle School,6-8,951-5200,19119,1308006613,13080,School,District,250,O,187,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1747154632338,40.059595074622,"{""type"":""Point"",""coordinates"":[-75.17472,40.0596]}"
315,W37B,W37,Global Leadership Academy Charter School,7101 Pennway St,Elementary School,K-5,267-236-1157,19111,7422007101,74220,Annex,Charter,0,O,188,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.0766078550791,40.0534974439071,"{""type"":""Point"",""coordinates"":[-75.07661,40.0535]}"
316,2150,W85,Mastery Charter School at Thomas,927 Johnson St.,Middle/HIgh,7-11,267-236-0036,19148,6156000900,61560,School,Charter,347,O,189,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1634679775542,39.9148554131013,"{""type"":""Point"",""coordinates"":[-75.16347,39.91486]}"
317,1160,W96,KIPP West Philadelphia,5900 Baltimore Ave.,Middle School,5,471-2906,19143,1562005900,15620,School,Charter,643,O,190,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2421602994263,39.9443376479996,"{""type"":""Point"",""coordinates"":[-75.24216,39.94434]}"
318,226510452,226510452,Archbishop Ryan  HS,11201 ACADEMY RD,High School,9-12,215-637-1800,19154,1120011101,11200,School,Archdiocese,2563,O,191,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-74.9866940190187,40.0851779309124,"{""type"":""Point"",""coordinates"":[-74.98669,40.08518]}"
319,226511802,226511802,Gesu,1221-27 N 17TH,Elementary School,pre K-8,215-763-3660,19121,8811001221,88110,School,Archdiocese,412,O,192,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.1638863916582,39.9727889412678,"{""type"":""Point"",""coordinates"":[-75.16389,39.97279]}"
320,226518242,226518242,St. Josaphat Ukrainian Catholic,4521 LONGSHORE AVE,Elementary School,K-8,215-332-8008,19135,5164004521,51640,School,Archdiocese,206,O,193,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.043629938338,40.0276131275365,"{""type"":""Point"",""coordinates"":[-75.04363,40.02761]}"
321,226516902,226516902,St. Cyprian Sr,6213 Cedar Ave,Elementary School,pre K-8,215-748-4450,19143,2202006213,22020,School,Archdiocese,159,C,194,2013-08-07 20:27:06.063194,2013-08-07 20:27:06.301444,-75.2478859536022,39.9534814169626,"{""type"":""Point"",""coordinates"":[-75.24789,39.95348]}"
