RACK_TYPE,BIKE_COUNT,LAT,LNG
Staple or Inverted-U,0.0,39.9517636898,-75.1588668392
Staple or Inverted-U,2.0,39.9520230496,-75.1610624185
Staple or Inverted-U,2.0,39.9518355329,-75.1595145863
Staple or Inverted-U,2.0,39.9517825948,-75.1590705568
Staple or Inverted-U,2.0,39.9516306287,-75.157831135
Staple or Inverted-U,2.0,39.9515300597,-75.1569676573
Staple or Inverted-U,2.0,39.9514231796,-75.1560362774
Staple or Inverted-U,2.0,39.9513497727,-75.155531082
Converted Parking Meter,2.0,39.9508603837,-75.1537098401
Converted Parking Meter,2.0,39.9502908311,-75.1538245274
Converted Parking Meter,2.0,39.9497305206,-75.1545583543
Converted Parking Meter,2.0,39.9497520959,-75.1546690389
Converted Parking Meter,2.0,39.9497743722,-75.1548106723
Converted Parking Meter,2.0,39.9497879611,-75.1549898061
Converted Parking Meter,2.0,39.9498106561,-75.1551500085
Staple or Inverted-U,2.0,39.9498493232,-75.1553839403
Staple or Inverted-U,2.0,39.9498689344,-75.1556186
Converted Parking Meter,2.0,39.9499400969,-75.156235378
Converted Parking Meter,2.0,39.9498958326,-75.155753861
Converted Parking Meter,2.0,39.9499780621,-75.1564383633
Converted Parking Meter,2.0,39.9499950123,-75.1565554196
Converted Parking Meter,2.0,39.9500084577,-75.1567283654
Staple or Inverted-U,2.0,39.9500469816,-75.15695611
Staple or Inverted-U,2.0,39.9500701608,-75.1572432915
Staple or Inverted-U,2.0,39.9500868304,-75.1573479693
Converted Parking Meter,2.0,39.9501046191,-75.1575021649
Converted Parking Meter,2.0,39.9501399159,-75.1577981764
Staple or Inverted-U,2.0,39.9501584033,-75.1579833211
Converted Parking Meter,2.0,39.9501757715,-75.158118947
Staple or Inverted-U,2.0,39.9501872576,-75.1582052392
Converted Parking Meter,2.0,39.95020827,-75.158291168
Converted Parking Meter,2.0,39.9502151317,-75.1583838308
Staple or Inverted-U,2.0,39.9502260574,-75.1584453641
Staple or Inverted-U,2.0,39.9502665354,-75.1587597638
Converted Parking Meter,2.0,39.9502830638,-75.1588582534
Staple or Inverted-U,2.0,39.9502951077,-75.1589693037
Converted Parking Meter,2.0,39.9503722743,-75.1596416154
Staple or Inverted-U,2.0,39.950449437,-75.1603139287
Converted Parking Meter,2.0,39.9504899099,-75.1606283305
Staple or Inverted-U,2.0,39.9504712871,-75.1604369952
Converted Parking Meter,2.0,39.9505067162,-75.160739201
Staple or Inverted-U,2.0,39.950552929,-75.16109675
Converted Parking Meter,2.0,39.950569176,-75.1611828604
Converted Parking Meter,2.0,39.9505809391,-75.1612815326
Converted Parking Meter,2.0,39.9505977448,-75.1613924022
Staple or Inverted-U,2.0,39.9506150353,-75.1615775946
Staple or Inverted-U,2.0,39.9506210904,-75.1616346677
Staple or Inverted-U,2.0,39.9506281977,-75.1616855054
Converted Parking Meter,2.0,39.9501612399,-75.1580033466
Staple or Inverted-U,2.0,39.9506497242,-75.1618999623
Staple or Inverted-U,2.0,39.9506567915,-75.1620019101
Staple or Inverted-U,2.0,39.9506610628,-75.1620327232
Staple or Inverted-U,2.0,39.9506640733,-75.1620604854
Converted Parking Meter,2.0,39.9506702338,-75.1621222012
Converted Parking Meter,2.0,39.9506766726,-75.162196296
Staple or Inverted-U,2.0,39.950685983,-75.1622919641
Converted Parking Meter,2.0,39.9506909523,-75.1623537252
Converted Parking Meter,2.0,39.9507183969,-75.1625664083
Staple or Inverted-U,2.0,39.9507065301,-75.1624630932
Staple or Inverted-U,0.0,39.9507332729,-75.1626974858
Converted Parking Meter,2.0,39.9507631302,-75.1629642835
Staple or Inverted-U,2.0,39.9507790223,-75.1630875793
Staple or Inverted-U,2.0,39.9508054884,-75.1632569347
Converted Parking Meter,2.0,39.9508190736,-75.1633307577
Converted Parking Meter,2.0,39.9508303455,-75.1634077664
Staple or Inverted-U,2.0,39.9508360168,-75.1634478183
Staple or Inverted-U,2.0,39.9508682883,-75.1637160736
Staple or Inverted-U,2.0,39.9508771779,-75.1637931731
Staple or Inverted-U,2.0,39.9521959912,-75.1619123085
Staple or Inverted-U,2.0,39.9520801837,-75.1610060331
Staple or Inverted-U,2.0,39.952003584,-75.1603584625
Staple or Inverted-U,2.0,39.9519410943,-75.1597552704
Staple or Inverted-U,2.0,39.9519392743,-75.1597274612
Staple or Inverted-U,2.0,39.9519339511,-75.1597028844
Staple or Inverted-U,2.0,39.9519298548,-75.1596798086
Staple or Inverted-U,2.0,39.9518276133,-75.1589000233
Staple or Inverted-U,2.0,39.9518269841,-75.1588721687
Staple or Inverted-U,2.0,39.9518251998,-75.1588459082
Staple or Inverted-U,2.0,39.9517892389,-75.1585731451
Staple or Inverted-U,2.0,39.9517836383,-75.1584835286
Staple or Inverted-U,2.0,39.9517464156,-75.1582077174
Staple or Inverted-U,2.0,39.9516419635,-75.1572777892
Staple or Inverted-U,2.0,39.951641264,-75.1572468396
Staple or Inverted-U,2.0,39.9516334883,-75.1572192589
Staple or Inverted-U,2.0,39.9514833214,-75.156112969
Staple or Inverted-U,2.0,39.95140221,-75.1554779707
Staple or Inverted-U,2.0,39.9513337039,-75.1549787843
Staple or Inverted-U,2.0,39.951318924,-75.1548523499
Staple or Inverted-U,2.0,39.9511966848,-75.1538750988
Staple or Inverted-U,2.0,39.9496852289,-75.1546111921
Staple or Inverted-U,2.0,39.9497204633,-75.1549041064
Staple or Inverted-U,2.0,39.9497751004,-75.1553170806
Staple or Inverted-U,2.0,39.9498271441,-75.1557208627
Staple or Inverted-U,2.0,39.949830576,-75.1557671943
Staple or Inverted-U,2.0,39.9497555569,-75.155190831
Staple or Inverted-U,2.0,39.9499031402,-75.1563405547
Staple or Inverted-U,2.0,39.949911545,-75.1563959884
Staple or Inverted-U,2.0,39.9499549004,-75.1567319583
Staple or Inverted-U,2.0,39.9499582619,-75.156775195
Staple or Inverted-U,2.0,39.9505409511,-75.1615695748
Staple or Inverted-U,2.0,39.9505037018,-75.1612922182
Staple or Inverted-U,2.0,39.9505123146,-75.1613569381
Staple or Inverted-U,2.0,39.9504677844,-75.1609683494
Staple or Inverted-U,2.0,39.9504236738,-75.1605983313
Staple or Inverted-U,2.0,39.9504063085,-75.1604627031
Staple or Inverted-U,2.0,39.9502736812,-75.1594455854
Staple or Inverted-U,2.0,39.9500916779,-75.1579316596
Staple or Inverted-U,2.0,39.9500806121,-75.1578639376
Staple or Inverted-U,2.0,39.9506192977,-75.1621891892
Staple or Inverted-U,2.0,39.9506472363,-75.1623708774
Staple or Inverted-U,2.0,39.9507021867,-75.1629046534
Staple or Inverted-U,2.0,39.9507155618,-75.1629691923
Staple or Inverted-U,2.0,39.9507838238,-75.1634590971
Staple or Inverted-U,2.0,39.9508031489,-75.163576067
Staple or Inverted-U,2.0,39.950820371,-75.1637055067
Converted Parking Meter,1.0,39.9529881314,-75.1523127311
Converted Parking Meter,1.0,39.9531487701,-75.1525539631
Staple or Inverted-U,2.0,39.9530800802,-75.1523156654
Converted Parking Meter,1.0,39.9530678848,-75.1521111467
Staple or Inverted-U,2.0,39.9530004105,-75.1519019338
Staple or Inverted-U,2.0,39.9527207067,-75.1494037922
Staple or Inverted-U,2.0,39.9526609047,-75.1494741671
Staple or Inverted-U,2.0,39.9526625751,-75.1486593772
Staple or Inverted-U,2.0,39.9526634581,-75.1487026459
Converted Parking Meter,1.0,39.952377467,-75.1463037452
Converted Parking Meter,1.0,39.9523445261,-75.1461595484
Converted Parking Meter,1.0,39.9522672033,-75.1455885234
Staple or Inverted-U,2.0,39.952246472,-75.1454870209
Converted Parking Meter,1.0,39.952092311,-75.1440631721
Staple or Inverted-U,2.0,39.9520594714,-75.1440137925
Staple or Inverted-U,2.0,39.9520570277,-75.1437938679
Converted Parking Meter,1.0,39.9520461305,-75.1437678002
Staple or Inverted-U,2.0,39.9518833287,-75.1424791499
Staple or Inverted-U,2.0,39.9518341946,-75.1428698851
Converted Parking Meter,1.0,39.9519983539,-75.1435900204
Converted Parking Meter,1.0,39.9519852365,-75.1438983904
Staple or Inverted-U,2.0,39.9520807059,-75.1445731338
Converted Parking Meter,1.0,39.9522101234,-75.145803743
Staple or Inverted-U,2.0,39.952323907,-75.1459892555
Converted Parking Meter,1.0,39.9523307806,-75.1460047631
Converted Parking Meter,1.0,39.9522581221,-75.1461259016
Staple or Inverted-U,2.0,39.9524473305,-75.1471721939
Converted Parking Meter,1.0,39.9525583069,-75.147897983
Converted Parking Meter,1.0,39.9525561278,-75.1480301653
Staple or Inverted-U,2.0,39.9525464885,-75.1491904725
Staple or Inverted-U,2.0,39.9526243568,-75.1494275126
Converted Parking Meter,1.0,39.9529574325,-75.1525477285
Converted Parking Meter,1.0,39.9530708486,-75.1526382683
Converted Parking Meter,1.0,39.953076627,-75.152789502
Converted Parking Meter,1.0,39.9530917473,-75.1528853052
Staple or Inverted-U,2.0,39.9517266281,-75.1534027485
Staple or Inverted-U,2.0,39.9515180959,-75.1534501875
Staple or Inverted-U,2.0,39.9511498189,-75.1532381233
Staple or Inverted-U,2.0,39.9510482045,-75.1524062176
Staple or Inverted-U,2.0,39.9506962429,-75.149808462
Staple or Inverted-U,2.0,39.9506828784,-75.1497082709
Staple or Inverted-U,2.0,39.9507171837,-75.1497528595
Staple or Inverted-U,2.0,39.9507291308,-75.1498329381
Staple or Inverted-U,2.0,39.9507118389,-75.1496485227
Converted Parking Meter,1.0,39.9505554915,-75.1484978299
Converted Parking Meter,1.0,39.9505287731,-75.1483404076
Converted Parking Meter,1.0,39.9505080517,-75.148200821
Converted Parking Meter,1.0,39.950494217,-75.1479900315
Converted Parking Meter,1.0,39.9504517126,-75.1477229272
Converted Parking Meter,1.0,39.9504481124,-75.1476041057
Staple or Inverted-U,2.0,39.9502828271,-75.1460880649
Staple or Inverted-U,2.0,39.9501295479,-75.1447264361
Converted Parking Meter,1.0,39.9499992524,-75.1424178529
Converted Parking Meter,1.0,39.9497014612,-75.1426845227
Converted Parking Meter,1.0,39.9497623582,-75.1431291126
Converted Parking Meter,1.0,39.9497685174,-75.1431913941
Staple or Inverted-U,2.0,39.9537295673,-75.1655380305
Staple or Inverted-U,0.0,39.9541950203,-75.1664635654
Staple or Inverted-U,2.0,39.9538828279,-75.1666798806
Staple or Inverted-U,4.0,39.9539680186,-75.16665186
Staple or Inverted-U,2.0,39.9540959441,-75.16661602
Staple or Inverted-U,2.0,39.9542049544,-75.1665870935
Staple or Inverted-U,2.0,39.9537589648,-75.1657847248
Staple or Inverted-U,2.0,39.9537882224,-75.166025229
Staple or Inverted-U,2.0,39.9541141754,-75.166472834
Staple or Inverted-U,2.0,39.9544233923,-75.1665478117
Staple or Inverted-U,0.0,39.9546083439,-75.1665036072
Staple or Inverted-U,2.0,39.9540108536,-75.1679279181
School Yard,39.0,39.9543979621,-75.1691336894
School Yard,29.0,39.9544832927,-75.1691118622
Converted Parking Meter,2.0,39.9542911488,-75.170214185
Converted Parking Meter,2.0,39.9543058073,-75.1703359854
Staple or Inverted-U,2.0,39.9543150414,-75.1704285646
Staple or Inverted-U,2.0,39.9543387587,-75.1706352086
Staple or Inverted-U,4.0,39.9557427174,-75.1741067699
Staple or Inverted-U,4.0,39.9557161774,-75.1731508346
Staple or Inverted-U,2.0,39.9558873553,-75.1746790192
Staple or Inverted-U,4.0,39.9558289325,-75.1748115429
Staple or Inverted-U,2.0,39.9559482238,-75.1752936904
Staple or Inverted-U,2.0,39.9559790411,-75.1754813391
Staple or Inverted-U,4.0,39.956060193,-75.175996846
Staple or Inverted-U,2.0,39.9559643477,-75.1760999712
Staple or Inverted-U,4.0,39.9572174911,-75.1771803149
Staple or Inverted-U,4.0,39.9562856141,-75.1772173777
Staple or Inverted-U,4.0,39.9562484206,-75.1767628336
Staple or Inverted-U,2.0,39.9560761958,-75.176803491
Staple or Inverted-U,2.0,39.9561701268,-75.176754345
Staple or Inverted-U,2.0,39.9561201742,-75.1767143153
