FID,DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,X,Y,GlobalID,x2,y2
664,000993,201506000993,700 BLOCK N 02ND ST,1/8/2015 12:00:00 AM,2015,06,300,12,615,-75.14116059,39.96227237,bf899a00-5a49-436b-8a02-3966117cf359,-119.642718040035,45.8080569807013
665,060486,201403060486,0 BLOCK MIFFLIN ST,10/9/2014 12:00:00 AM,2014,03,100,17,625,-75.14363786,39.92350563,a8af419b-97a8-4c61-b281-76092853e699,-119.63364050456,45.7940421137109
666,001142,201506001142,0 BLOCK S 12TH ST,1/9/2015 12:00:00 AM,2015,06,1000,13,615,-75.16000556,39.95110186,1728293e-c83c-47e3-8157-87d2afbd0d48,-119.647110011654,45.8015008332414
667,060887,201403060887,1000 BLOCK S 09TH ST,10/11/2014 12:00:00 AM,2014,03,100,5,625,-75.15820767,39.9375823,73b539d3-fe59-462c-8506-1ba2551c1288,-119.642914915298,45.7969828736303
668,000190,201517000190,1800 BLOCK PEMBERTON ST,1/2/2015 12:00:00 AM,2015,17,600,18,615,-75.17374716,39.94325352,70aec424-a007-477a-b2a9-0e2043a2b3f9,-119.650389234285,45.7968251649368
669,094562,201422094562,1800 BLOCK WILLINGTON ST,11/12/2014 12:00:00 AM,2014,22,250,14,615,-75.16146872,39.98151809,a597c438-51b2-4339-80bc-ac1d5ff79a49,-119.655554844088,45.8120266123977
670,061040,201403061040,1400 BLOCK S 07TH ST,10/11/2014 12:00:00 AM,2014,03,200,20,615,-75.15634324,39.93097714,1ac15215-f097-4591-9b48-22ba7909bb0d,-119.640484704462,45.7949127292906
671,000620,201517000620,2000 BLOCK SOUTH ST,1/6/2015 12:00:00 AM,2015,17,1000,13,615,-75.183143,39.93990492,bc7606fe-5948-47ae-a383-64dfc09069f5,-119.653153640745,45.7943397321678
672,094613,201422094613,2600 BLOCK N 11TH ST,11/12/2014 12:00:00 AM,2014,22,400,17,615,-75.14963718,39.99170818,5fc96754-6da5-45c7-82a5-6afdb644fdc4,-119.653621772515,45.8172649028221
673,061183,201403061183,2100 BLOCK S 04TH ST,10/12/2014 12:00:00 AM,2014,03,200,10,615,-75.15352594,39.92161908,79c53af2-6631-41a8-94fb-61a4650dfbe5,-119.636974234461,45.7920044819964
674,000869,201517000869,1700 BLOCK WASHINGTON AV,1/8/2015 12:00:00 AM,2015,17,300,13,615,-75.17222592,39.93858417,8f97ec88-e4a0-474f-be89-de422cb1c4dc,-119.648592402861,45.7953898947293
675,097666,201422097666,1800 BLOCK DIAMOND ST,11/23/2014 12:00:00 AM,2014,22,400,10,615,-75.16369506,39.98561426,66aec66a-eca4-4034-92aa-fde3b9e0a2df,-119.657477107015,45.8131626310599
676,000069,201518000069,3400 BLOCK WALNUT ST,1/1/2015 12:00:00 AM,2015,18,1000,3,615,-75.19218823,39.95279066,a4448c02-6803-40eb-96ad-3c6633f21ff0,-119.659986291039,45.7976275298803
677,061680,201403061680,0 BLOCK MIFFLIN ST,10/14/2014 12:00:00 AM,2014,03,500,10,615,-75.14363786,39.92350563,071ab0d1-dd78-4afc-bfe8-f033776a260e,-119.63364050456,45.7940421137109
678,000455,201518000455,5400 BLOCK SPRUCE ST,1/2/2015 12:00:00 AM,2015,18,70,21,625,-75.2300392,39.95514221,154c9a3c-867b-4033-b4a0-04ffd510eacd,-119.675223043253,45.7931991488154
679,061749,201403061749,1600 BLOCK S CHRISTOPHER COLUMBUS BLVD,10/14/2014 12:00:00 AM,2014,03,500,15,615,-75.14496511,39.92737254,8ded070b-ffc4-4529-939f-fd2f10c29709,-119.63515406126,45.7952212438407
680,099867,201422099867,1800 BLOCK N 17TH ST,12/2/2014 12:00:00 AM,2014,22,250,10,615,-75.16204192,39.98213721,44193d1f-5513-4cda-9ea8-8425d9b2e471,-119.655936883841,45.812165445912
681,000713,201518000713,6100 BLOCK CATHARINE ST,1/4/2015 12:00:00 AM,2015,18,539,9,615,-75.24590973,39.95125563,c3bf069a-c394-418c-9dfe-4778c63ae010,-119.680348536815,45.7896236502448
682,101062,201422101062,1900 BLOCK LIACOURAS WALK,12/6/2014 12:00:00 AM,2014,22,120,9,625,-75.15586494,39.98216218,69ac0b76-9024-44f9-979f-aeea2e935e22,-119.653555402428,45.8130319909015
